8519fc4c675aa75cd458a6f11b4ce852|Das macht neugierig.|das macht neugierig.
2310ae91be827ceef5eb3ef938cd7aca|Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.|das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.
34f49a895ea23ea29867820c3cc64736|Öh, wie funktioniert das?|öh, wie funktioniert das?
dd036375be996cf723d7ee4fd460f702|Die Lebenshaltungskosten sind drastisch gestiegen.|die lebenshaltungskosten sind drastisch gestiegen.
775389aa54e4eb1a3eebbe10d54eba54|Ich hasse diese Spinnen; wegen denen flippe ich jedes Mal aus, wenn ich sauber mache.|ich hasse diese spinnen; wegen denen flippe ich jedes mal aus, wenn ich sauber mache.
b304259fbc75515da3720ee4e1d4b29e|Wo kann man telefonieren?|wo kann man telefonieren?
b810dcf3be6157df79007f02b45f6850|Das ist zu teuer!|das ist zu teuer!
a781df15efcec8a929bbaeb17195830d|Du hast ihm nichts gesagt?|du hast ihm nichts gesagt?
4b9aa70fb647438c656866023e328986|Es ist schade, dass man Wunder nicht kaufen kann, wie man Kartoffeln kauft.|es ist schade, dass man wunder nicht kaufen kann, wie man kartoffeln kauft.
40005f36672a4a301db411ac499e7792|Die Unstimmigkeit zwischen den Geschichten der zwei Unfallbeteiligten war so groß, dass die Behörden Schwierigkeiten hatten, zu entscheiden, welche Seite die Wahrheit erzählte.|die unstimmigkeit zwischen den geschichten der zwei unfallbeteiligten war so groß, dass die behörden schwierigkeiten hatten, zu entscheiden, welche seite die wahrheit erzählte.
af063b16f13b781f65365656de114142|Der verurteilte Drogendealer war gewillt, sich den Behörden zu fügen, um seine Todesstrafe zu einer lebenslänglichen Freiheitsstrafe zu vermindern.|der verurteilte drogendealer war gewillt, sich den behörden zu fügen, um seine todesstrafe zu einer lebenslänglichen freiheitsstrafe zu vermindern.
90aef1bf8d0f5cb93441bc6b397fbcb7|Schockiert durch die Ereignisse des 11. September, verurteilten Politiker in der ganzen Welt die Terroristen für ihre verwerfliche Tat.|schockiert durch die ereignisse des 11. september, verurteilten politiker in der ganzen welt die terroristen für ihre verwerfliche tat.
5c835f0e236d2db50ad3464b6648667a|James hatte große Angst, im Unterricht Fehler zu machen und zurechtgewiesen zu werden.|james hatte große angst, im unterricht fehler zu machen und zurechtgewiesen zu werden.
2f5c0269c8d3e70a90ff250ddafa645f|Der Mörder wurde schuldig gesprochen und zu lebenslänglicher Haft verurteilt.|der mörder wurde schuldig gesprochen und zu lebenslänglicher haft verurteilt.
9e24dd3b9678e34505af4f46575fffb5|Das, was du nicht hast, ist besser als das, was du hast.|das, was du nicht hast, ist besser als das, was du hast.
f286dbb7d897c2a066fded8d333220ff|Mathematik ist nicht einfach das Auswendiglernen von Formeln.|mathematik ist nicht einfach das auswendiglernen von formeln.
cebb60e2d7d16d6e74209d9f5c8c57ca|Scheiße, wer ist der Vollidiot, der es wagt, mich mitten in der Nacht anzurufen?!|scheiße, wer ist der vollidiot, der es wagt, mich mitten in der nacht anzurufen?!
7903702e179b944dde60b8dd9ab37d85|Fülle das folgende Formular aus, um zu erfahren, wer du in deinem vorigen Leben gewesen sein könntest.|fülle das folgende formular aus, um zu erfahren, wer du in deinem vorigen leben gewesen sein könntest.
a35e415b698d13e6e3f1bc85b03fe8f1|Überprüfe, dass dein Benutzername und dein Passwort richtig geschrieben sind.|überprüfe, dass dein benutzername und dein passwort richtig geschrieben sind.
99c8100d6639312ac1b9acf3c72ad551|Die Analysisvorlesung beginnt mit den Grundbegriffen mathematischer Logik, wichtigen Beweistechniken, und der Konstruktion der reellen und komplexen Zahlen.|die analysisvorlesung beginnt mit den grundbegriffen mathematischer logik, wichtigen beweistechniken, und der konstruktion der reellen und komplexen zahlen.
6258e9adc7b8aeddf2b79d954b5c03a4|Wir sind, was wir vorgeben zu sein, also müssen wir vorsichtig sein mit dem, was wir vorgeben zu sein.|wir sind, was wir vorgeben zu sein, also müssen wir vorsichtig sein mit dem, was wir vorgeben zu sein.
4147e32d2112a52bef0309271223ac55|Mehr als ein Drittel der Weltbevölkerung lebt in der Nähe einer Küste.|mehr als ein drittel der weltbevölkerung lebt in der nähe einer küste.
2cb968bacafaa18b3a53240765bec7c9|Der Süßwassermangel, mit dem wir weltweit konfrontiert sein werden, rührt auch aus dem übermäßigen Verbrauch in den westlichen Ländern her, der seit der Industrialisierung exponentiell ansteigt.|der süßwassermangel, mit dem wir weltweit konfrontiert sein werden, rührt auch aus dem übermäßigen verbrauch in den westlichen ländern her, der seit der industrialisierung exponentiell ansteigt.
5a64e755075c90eb3cee849db9845e64|Mit seiner bunten Kleidung, seiner langen Perücke und seinen weißen Handschuhen könnte man meinen, er sei gerade aus einer Art Disneyland entlaufen.|mit seiner bunten kleidung, seiner langen perücke und seinen weißen handschuhen könnte man meinen, er sei gerade aus einer art disneyland entlaufen.
